position.x,position.z,time,score,phase
0.4999931,-0.9999878,76.88953,1,1
0.4999928,-0.9999877,76.9971,1,1
0.4999931,-0.9999878,77.11766,1,1
0.499993,-0.9999878,77.22964,1,1
0.4999929,-0.9999876,77.3359,1,1
0.4999931,-0.9999877,77.45631,1,1
0.499993,-0.9999878,77.57038,1,1
0.499993,-0.9999877,77.7008,1,1
0.4999931,-0.9999878,77.84005,1,1
0.499993,-0.9999878,77.97466,1,1
0.499993,-0.9999877,78.08957,1,1
0.499993,-0.9999876,78.2235,1,1
0.499993,-0.9999879,78.3268,2,1
0.499993,-0.9999878,78.42871,2,1
0.499993,-0.9999878,78.53173,2,1
0.499993,-0.9999878,78.66505,2,1
0.499993,-0.9999876,78.79836,2,1
0.499993,-0.9999878,78.91756,2,1
0.499993,-0.999988,79.03551,2,1
0.499993,-0.9999877,79.14278,2,1
0.4999932,-0.9999877,79.25366,2,1
0.499993,-0.9999878,79.36389,2,1
0.499993,-0.9999879,79.51984,2,1
0.499993,-0.9999878,79.67067,2,1
0.499993,-0.9999879,79.78122,2,1
0.499993,-0.9999878,79.92664,2,1
0.499993,-0.9999877,80.05149,2,1
0.499993,-0.999988,80.16986,2,1
0.4999929,-0.9999879,80.2732,2,1
0.499993,-0.9999878,80.42178,2,1
0.499993,-0.9999879,80.52206,2,1
0.4999929,-0.9999879,80.63779,2,1
0.499993,-0.9999879,80.77101,2,1
0.499993,-0.9999877,80.88758,2,1
0.4999929,-0.9999878,81.0006,2,1
0.4999929,-0.999988,81.10751,2,1
0.4999931,-0.9999878,81.23115,2,1
0.4999928,-0.9999879,81.34534,2,1
0.4999931,-0.9999879,81.47365,2,1
0.499993,-0.9999878,81.57592,2,1
0.4999928,-0.999988,81.6935,2,1
0.4999931,-0.9999878,81.80967,2,1
0.4999929,-0.9999879,81.92525,2,1
0.499993,-0.999988,82.05825,2,1
0.499993,-0.9999879,82.20362,2,1
0.4999929,-0.999988,82.31683,2,1
0.4999931,-0.9999879,82.44193,2,1
0.499993,-0.999988,82.55631,2,1
0.499993,-0.999988,82.66825,2,1
0.499993,-0.9999878,82.80018,2,1
0.499993,-0.9999878,82.91479,2,1
0.499993,-0.999988,83.02505,2,1
0.4999929,-0.9999878,83.14419,2,1
0.4999931,-0.9999878,83.25454,2,1
0.499993,-0.999988,83.36421,2,1
0.499993,-0.9999879,83.51839,2,1
0.4999929,-0.999988,83.65173,2,1
0.4999929,-0.999988,83.76062,2,1
0.499993,-0.999988,83.86266,2,1
0.4999929,-0.9999879,83.98292,2,1
0.4999931,-0.9999878,84.11018,2,1
0.4999929,-0.9999879,84.21329,2,1
0.499993,-0.9999881,84.35151,2,1
0.4999929,-0.9999878,84.48251,2,1
0.4999928,-0.999988,84.62456,2,1
0.4999931,-0.9999879,84.72575,2,1
0.4999929,-0.9999879,84.83991,2,1
0.4999929,-0.9999881,84.94485,2,1
0.499993,-0.999988,85.07046,2,1
0.499993,-0.9999879,85.18554,2,1
0.4999929,-0.9999881,85.30522,2,1
0.4999929,-0.999988,85.4354,2,1
0.499993,-0.999988,85.57672,2,1
0.499993,-0.999988,85.72552,2,1
0.499993,-0.9999881,85.83257,2,1
0.4999929,-0.9999879,85.95798,2,1
0.499993,-0.9999879,86.12123,2,1
0.4999929,-0.9999881,86.24662,2,1
0.4999929,-0.999988,86.35009,2,1
0.4999931,-0.999988,86.4793,2,1
0.4999929,-0.999988,86.59142,2,1
0.4999931,-0.999988,86.7296,2,1
0.4999929,-0.9999881,86.83967,2,1
0.499993,-0.999988,86.98286,2,1
0.499993,-0.9999881,87.08713,2,1
0.4999929,-0.9999881,87.19167,2,1
0.499993,-0.9999879,87.29186,2,1
0.499993,-0.9999881,87.44871,2,1
0.4999929,-0.9999881,87.59937,2,1
0.499993,-0.999988,87.69981,2,1
0.499993,-0.999988,87.80072,2,1
0.499993,-0.9999881,87.93308,2,1
0.4999929,-0.9999881,88.04641,2,1
0.4999929,-0.999988,88.18827,2,1
0.499993,-0.999988,88.29867,2,1
0.4999929,-0.9999882,88.40799,2,1
0.499993,-0.9999881,88.52963,2,1
0.499993,-0.9999881,88.65629,2,1
0.499993,-0.999988,88.78353,2,1
0.499993,-0.999988,88.88667,2,1
0.499993,-0.9999883,89.03183,2,1
0.499993,-0.9999881,89.13229,2,1
0.4999929,-0.9999881,89.25247,2,1
0.499993,-0.9999881,89.37936,2,1
0.4999929,-0.9999881,89.4894,2,1
0.499993,-0.9999882,89.63014,2,1
0.4999929,-0.999988,89.73525,2,1
0.499993,-0.9999881,89.8522,2,1
0.499993,-0.9999883,89.99708,2,1
0.4999928,-0.999988,90.10086,2,1
0.499993,-0.9999881,90.2115,2,1
0.4999929,-0.9999882,90.32449,2,1
0.4999929,-0.999988,90.44644,2,1
0.499993,-0.9999881,90.56647,2,1
0.4999929,-0.9999883,90.69101,3,1
0.4999929,-0.9999881,90.79798,3,1
0.499993,-0.9999881,90.90902,3,1
0.4999929,-0.9999882,91.03655,3,1
0.499993,-0.9999882,91.15308,3,1
0.4999928,-0.9999881,91.26914,3,1
0.4999929,-0.9999883,91.4175,3,1
0.499993,-0.9999884,91.51854,3,1
0.4999928,-0.9999882,91.62041,3,1
0.499993,-0.9999881,91.75864,3,1
0.4999929,-0.9999882,91.89843,3,1
0.499993,-0.9999883,92.00982,3,1
0.499993,-0.9999882,92.11256,3,1
0.4999929,-0.9999882,92.21809,3,1
0.499993,-0.9999883,92.32653,3,1
0.4999929,-0.9999882,92.45306,3,1
0.499993,-0.9999881,92.57079,3,1
0.4999929,-0.9999884,92.68719,3,1
0.499993,-0.9999883,92.82157,3,1
0.4999929,-0.9999883,92.92299,3,1
0.4999929,-0.9999881,93.05779,3,1
0.4999929,-0.9999881,93.17231,3,1
0.4999929,-0.9999883,93.3059,3,1
0.4999929,-0.9999883,93.4073,3,1
0.499993,-0.9999883,93.52164,3,1
0.499993,-0.9999883,93.62712,3,1
0.4999929,-0.9999882,93.72863,3,1
0.499993,-0.9999883,93.84231,3,1
0.499993,-0.9999881,93.9505,3,1
0.4999929,-0.9999881,94.06024,3,1
0.4999928,-0.9999884,94.18314,3,1
0.499993,-0.9999883,94.28322,3,1
0.4999928,-0.9999883,94.4117,3,1
0.4999929,-0.9999883,94.51458,3,1
0.4999928,-0.9999881,94.64503,3,1
0.4999928,-0.9999884,94.76474,3,1
0.4999931,-0.9999883,94.87603,3,1
0.4999929,-0.9999883,94.98985,3,1
0.4999929,-0.9999883,95.11958,3,1
0.499993,-0.9999883,95.23158,3,1
0.4999928,-0.9999883,95.34161,3,1
0.499993,-0.9999884,95.47982,3,1
0.4999929,-0.9999884,95.58854,3,1
0.4999929,-0.9999883,95.7197,3,1
0.499993,-0.9999882,95.82931,3,1
0.4999929,-0.9999883,95.96265,3,1
0.4999928,-0.9999883,96.10547,3,1
0.4999929,-0.9999884,96.21587,3,1
0.4999929,-0.9999884,96.32864,3,1
0.499993,-0.9999883,96.45609,3,1
0.4999929,-0.9999883,96.58308,3,1
0.4999929,-0.9999884,96.68382,3,1
0.4999929,-0.9999884,96.78828,3,1
0.4999929,-0.9999883,96.92181,3,1
0.4999928,-0.9999882,97.03272,3,1
0.499993,-0.9999884,97.16805,3,1
0.4999929,-0.9999884,97.30264,3,1
0.4999931,-0.9999882,97.4143,3,1
0.4999929,-0.9999884,97.56384,3,1
0.4999929,-0.9999884,97.66988,3,1
0.4999929,-0.9999884,97.77164,3,1
0.4999928,-0.9999884,97.88474,3,1
0.4999929,-0.9999884,97.98495,3,1
0.4999929,-0.9999884,98.08797,3,1
0.4999929,-0.9999884,98.19184,3,1
0.4999929,-0.9999884,98.30006,3,1
0.4999929,-0.9999883,98.42362,3,1
0.4999928,-0.9999884,98.53329,3,1
0.499993,-0.9999884,98.64967,3,1
0.4999928,-0.9999883,98.78488,3,1
0.4999929,-0.9999885,98.89117,3,1
0.499993,-0.9999884,99.0163,3,1
0.4999928,-0.9999884,99.1315,3,1
0.499993,-0.9999885,99.26303,3,1
0.4999929,-0.9999884,99.36802,3,1
0.4999928,-0.9999882,99.476,3,1
0.4999928,-0.9999885,99.6101,3,1
0.499993,-0.9999884,99.71092,3,1
0.4999929,-0.9999883,99.81783,3,1
0.4999928,-0.9999886,99.96272,3,1
0.4999929,-0.9999884,100.1076,3,1
0.4999929,-0.9999884,100.2135,3,1
0.499993,-0.9999883,100.3188,3,1
0.4999929,-0.9999884,100.4249,3,1
0.4999928,-0.9999885,100.5335,3,1
0.499993,-0.9999884,100.6894,3,1
0.4999928,-0.9999886,100.7972,3,1
0.499993,-0.9999884,100.8996,3,1
0.4999931,-0.9999884,101.0307,3,1
0.4999928,-0.9999886,101.1461,3,1
0.499993,-0.9999885,101.2562,3,1
0.4999928,-0.9999884,101.3749,4,1
0.499993,-0.9999885,101.478,4,1
0.4999929,-0.9999885,101.6189,4,1
0.4999928,-0.9999885,101.7269,4,1
0.499993,-0.9999885,101.8419,4,1
0.4999929,-0.9999884,101.9744,4,1
0.4999929,-0.9999886,102.1267,4,1
0.4999928,-0.9999884,102.2299,4,1
0.4999931,-0.9999885,102.3704,4,1
