position.x,position.z,time,score
-3.644233,3.910668,98.80226,183
-3.601956,3.831423,98.93806,183
-3.571327,3.751011,99.08605,183
-3.545148,3.682672,99.20113,183
-3.524686,3.650438,99.33632,183
-3.45294,3.610717,99.47526,183
-3.396309,3.585718,99.65645,183
-3.350927,3.574008,99.80038,183
-3.347913,3.529613,99.99788,183
-3.292011,3.436123,100.1451,183
-3.237431,3.374393,100.2702,183
-3.217268,3.370491,100.4021,183
-3.163557,3.387995,100.5174,183
-3.131696,3.392786,100.6519,183
-3.078569,3.412767,100.8322,183
-2.998292,3.413187,100.9644,183
-2.918815,3.39511,101.0935,183
-2.879296,3.397616,101.2189,183
-2.869667,3.40514,101.3339,183
-2.864725,3.40611,101.4654,183
-2.887619,3.453078,101.705,183
-2.902308,3.461692,101.8288,183
-3.005513,3.524724,101.9635,183
-3.075168,3.567715,102.1071,183
-3.10151,3.650369,102.257,183
-3.106992,3.72056,102.4077,183
-3.103449,3.763253,102.5674,183
-3.109803,3.849422,102.7749,183
-3.12244,3.952214,102.9401,183
-3.1601,4.03323,103.0829,183
-3.185542,4.057641,103.2314,183
-3.252957,4.074018,103.3776,183
-3.301902,4.083399,103.5221,183
-3.363207,4.104702,103.6677,183
-3.384899,4.117633,103.8322,183
-3.39814,4.119139,103.9796,183
-3.373443,4.136223,104.1216,183
-3.313592,4.170434,104.2763,183
-3.252754,4.197377,104.414,183
-3.217586,4.188613,104.5568,183
-3.172098,4.153824,104.6945,183
-3.112193,4.05456,104.8501,183
-3.099934,3.989213,104.989,183
-3.074578,3.860995,105.1312,183
-3.049032,3.763373,105.2728,183
-3.012864,3.664734,105.4119,183
-2.933032,3.585255,105.5611,183
-2.858809,3.526448,105.7045,183
-2.771105,3.485796,105.8591,183
-2.706282,3.49486,106.0023,183
-2.612847,3.52827,106.1409,183
-2.525324,3.55007,106.2857,183
-2.434569,3.516088,106.507,183
-2.42097,3.463589,106.6558,183
-2.389338,3.414027,106.8118,183
-2.394745,3.384587,106.958,183
-2.399645,3.401604,107.1105,183
-2.471928,3.440784,107.26,183
-2.499029,3.464348,107.4046,183
-2.592093,3.577099,107.5426,183
-2.661121,3.672545,107.6857,183
-2.729673,3.743747,107.8505,183
